N/A
A & M Cons High School in College Station, TX
Southwestern Oklahoma State University - Rogers State University in Bartlesville, OK
Southwestern Oklahoma State University - Rose State College in Midwest City, OK
Southwestern Oklahoma State University - Sayre in Sayre, OK
Southwestern Oklahoma State University - SharonMutual Public Schools in Mutual, OK
Southwestern Oklahoma State University - Shawnee Public Schools in Shawnee, OK
Southwestern Oklahoma State University - Southern Oklahoma Technology Center in Ardmore, OK
Southwestern Oklahoma State University - Timberlake Public Schools in Helena, OK
Southwestern Oklahoma State University - TriCounty Career Center in Bartlesville, OK
Southwestern Oklahoma State University - Tulsa Community College in Tulsa, OK
Southwestern Oklahoma State University - Turpin Public Schools in Turpin, OK
Southwestern Oklahoma State University - Tuttle High School in Tuttle, OK
Southwestern Oklahoma State University - Tyrone Public Schools in Tyrone, OK
Southwestern Oklahoma State University - University of Science & Arts of OK in Chickasha, OK
Southwestern Oklahoma State University - Waurika High School in Waurika, OK
Southwestern Oklahoma State University - Wes Watkins Technology Center in Wetumka, OK
Southwestern Oklahoma State University - Western Oklahoma State College in Altus, OK
Southwinds Academy in Otis, KS
Southwood High School in Shreveport, LA
Sowers Alternative High School in Wichita, KS
Sp Ed Co-Op in Crosbyton, TX
Space Center Int in Houston, TX
Space Technology And Arts Academy (Star Academy) in Colorado Springs, CO
Spaght Multimedia Magnet in Wichita, KS
Spanish Lake Campus in St Louis, MO
Spanish Lake Primary School in Geismar, LA
Spark! Discovery Preschool in Frederick, CO
Sparta High in Sparta, MO
Sparta Pk Center in Sparta, MO
Spartan College of Aeronautics and Technology - Redstone College Houston in Houston, TX
Spavinaw Public School in Spavinaw, OK
Spearman High School in Spearman, TX
Spearman J H in Spearman, TX
Spearville Elem in Spearville, KS
Spearville Jr/Sr High in Spearville, KS
Special Acres School in Park Hills, MO
Special Ctrs in Galveston, TX
Special Prog Ctr/J J A E P in Mckinney, TX
Special Prog Ctr/Jjaep in Mckinney, TX
Special Program Center in Anna, TX
Special Programs Ctr in Hereford, TX
Special Services in Lufkin, TX
Special Services in Paris, TX
Sped Private/Homebound in Fort Worth, TX
Sperry High School in Sperry, OK
Spicer Alter Ed Ctr in Bellville, TX
Spiro High School in Spiro, OK
Splendora High School in Splendora, TX
Splendora J H in Splendora, TX
Spofford Treatment Center in Kansas City, MO
Spokane High in Spokane, MO
Spring Branch Ed Ctr in Houston, TX
Spring Creek School in Skellytown, TX
Spring Creek Youthigh Schoolervices Center in Colorado Springs, CO
Spring Grove Primary Center in Galena, KS
Spring High School in Spring, TX
Spring Hill High School in Longview, TX
Spring Hill High School in Spring Hill, KS
Spring Hill Int in Longview, TX
Spring Hill J H in Longview, TX
Spring Hill Pri in Longview, TX
Spring International Language Center - in Denver, CO
Spring Woods High School in Houston, TX
Springer Correctional Facility in Springer, NM
Springer High in Springer, NM
Springer High School in Springer, OK
Springfield College - SHS Houston Campus in Houston, TX
Springfield High School in Springfield, LA
Springfield Junior/Senior High School in Springfield, CO
Springlake-Earth Daep in Earth, TX
Springlake-Earth High School in Earth, TX
Springs Studio For Academic Excellence in Colorado Springs, CO
Springtown High School in Springtown, TX
Springtown Int in Springtown, TX
Springville Educational Center in Coushatta, LA
Sproul Junior High School in Colorado Springs, CO
Spur City High School in Gatesville, TX
Spur School in Spur, TX
Spurger High School in Spurger, TX
Ssg Manuel R Puentes in El Paso, TX
St Anthony Academy in Dallas, TX
St Anthony School in Dallas, TX
St Charles Community College - Center for Nursing & Allied Health Sciences in Dardenne Prairie, MO
St Francis Elem in St Francis, KS
St Francis High in St Francis, KS
St George Elem in St George, KS
St John Elem in St. John, KS
St John High in St. John, KS
St Louis College Prep High in St. Louis, MO
St Louis Early Childhood Center in Tyler, TX
St Martin High School in Ocean Springs, MS
St Mary'S Academy Charter School in Beeville, TX
St Marys Elem in St Marys, KS
St Philip'S College Early College High School Withigh Schoolaisd in San Antonio, TX
St. Amant High School in St. Amant, LA
St. Amant Primary School in St. Amant, LA
St. Charles High in St Charles, MO
St. Charles West High in St Charles, MO
St. Clair High in St Clair, MO
St. Clair Jr. High in St Clair, MO
St. Edward's University - Professional Education Center in Austin, TX
St. Helena Arts And Technology Academy in Greensburg, LA
St. Helena College And Career Academy in Greensburg, LA
St. Hosp. Training Center Parsons in Parsons, KS
St. James High in St James, MO
St. James High School in St. James, LA
St. John Child Development Center in Garyville, LA
St. John's College - Santa Fe in Santa Fe, NM
St. Louis Children'S Hospital in St Louis, MO
St. Louis College of Health Careers - County in Fenton, MO
St. Marks School in Colwich, KS
St. Martinville Junior High School in St. Martinville, LA
St. Martinville Primary School in St. Martinville, LA
St. Martinville Senior High School in St. Martinville, LA
St. Marys Junior Senior High in St Marys, KS
St. Paul High School in St. Paul, KS
St. Tammany Junior High School in Slidell, LA
St. Vrain Community Montessori School in Longmont, CO
St. Vrain Global Online Academy in Longmont, CO
Stafford Adjustment Center in Stafford, TX
Stafford Center in San Antonio, TX
Stafford High School in Stafford, TX
Stafford Int in Stafford, TX
Stafford Pri in Stafford, TX
Staley High in Kansas City, MO
Stamford High School in Stamford, TX
Stanberry High in Stanberry, MO
Standley Lake High School in Westminster, CO
Stanley Elem in Wichita, KS
Stanley High School in Logansport, LA
Stanton County Jr./Sr. High School in Johnson, KS
Stanton High School in Stanton, TX
Star Spencer High School in Spencer, OK
Stargate Charter School in Thornton, CO
Starks High School in Starks, LA
Starkville High School in Starkville, MS
Starkville High School in Starkville, MS
Starr Academy in Boys Ranch, TX
Stars Accelerated High School in Granbury, TX
Stars Early Learning Center in Commerce City, CO
Starside Elem in De Soto, KS
State Fair Community College - Boonslick Technical Education Center in Boonville, MO
State Fair Community College - Boonville in Boonville, MO
State Fair Community College - Clinton in Clinton, MO
State Fair Community College - Eldon Career Center in Eldon, MO
State Fair Community College - Eldon High School in Eldon, MO
State Fair Community College - Keiper LLC in Eldon, MO
State Fair Community College - Lake of the Ozarks in Osage Beach, MO
State Fair Community College - SFCC at Whiteman Air Force Base in Whiteman AFB, MO
State Fair in Sedalia, MO
State Street Elem in Topeka, KS
State Technical College of Missouri - Linn State Technical College at Advanced Technology Center in Mexico, MO
State Technical College of Missouri - Linn State Technical College at Capitol Region Medical Center in Jefferson City, MO
State Technical College of Missouri - Linn State Technical College at Nichols Career Center in Jefferson City, MO
State Technical College of Missouri - Linn State Technical College at North Central Missouri College in Trenton, MO
State Technical College of Missouri - Linn State Technical College at Three Rivers Community College in Poplar Bluff, MO
Ste. Genevieve Sr. High in Ste Genevieve, MO
Steamboat Springs Early Childhood Center in Steamboat Springs, CO
Steamboat Springs High School in Steamboat Springs, CO
Steelville High in Steelville, MO
Steger Sixth Grade Ctr. in St Louis, MO
Stehlik Int in Houston, TX
Stem Lab in Northglenn, CO
Stem Launch in Thornton, CO
Stennis Voc Tech Complex in Dekalb, MS
Stephanie Cravens Early Childhood in Houston, TX
Stephen F Austin High School in Sugar Land, TX
Stephen F Austin in Bryan, TX
Stephen F Austin Pri in Slaton, TX
Stephen F Austin State University Charter School in Nacogdoches, TX
Stephen Knight Center For Early Education in Denver, CO
Stephenville High School in Stephenville, TX
Sterling City High School in Sterling City, TX
Sterling City/Veribest Special Programs in Sterling City, TX
Sterling Grade School in Sterling, KS
Sterling H Fly Jr High School in Crystal City, TX
Sterling High School in Baytown, TX
Sterling High School in Houston, TX
Sterling High School in Sterling, CO
Sterling High School in Sterling, OK
Sterling Junior High/Senior High in Sterling, KS
Sterlington High School in Monroe, LA
Stevens High School in San Antonio, TX
Stevens Institute of Technology - L3 Communications in Greenville, TX
Stewart Elem in Salina, KS
Stewartsville High in Stewartsville, MO
Stidham Public School in Eufaula, OK
Stigler High School in Stigler, OK
Stillwater Beauty Academy - Academy of Cosmetology in Chickasha, OK
Stillwater High School in Stillwater, OK
Stillwater Jhs in Stillwater, OK
Stilwell High School in Stilwell, OK
Stilwell Tech Ctr/Cate in Port Arthur, TX
Stix Early Childhood Ctr. in St Louis, MO
Stockdale High School in Stockdale, TX
Stockdale J H in Stockdale, TX
Stockton Elem in Stockton, KS
Stockton High in Stockton, KS
Stockton High in Stockton, MO
Stone Creek School in Avon, CO
Stone High School in Wiggins, MS
Stonewall High School in Stonewall, OK
Stony Point High School in Round Rock, TX
Stony Point North in Kansas City, KS
Stony Point South in Kansas City, KS
Story Int in Palestine, TX
Stout Elem in Topeka, KS
Stoutland High in Stoutland, MO
Stovall Academy in Houston, TX
Stovall Sped Complex in Oxford, MS
Strack Int in Klein, TX
Strafford High in Strafford, MO
Straight Public School in Guymon, OK
Strasburg High School in Strasburg, CO
Stratford High School in Houston, TX
Stratford High School in Stratford, OK
Stratford High School in Stratford, TX
Stratford J H in Stratford, TX
Stratton Senior High School in Stratton, CO
Strawn School in Strawn, TX
Strayer University - Austin in Austin, TX
Strayer University - Cedar Hill Campus in Cedar Hill, TX
Strayer University - Dallas Campus in Irving, TX
Strayer University - Houston Katy Campus in Houston, TX
Strayer University - Houston Northwest Houston Campus in Houston, TX
Strayer University - Jackson Campus in Jackson, MS
Strayer University - Kansas City Campus in Kansas City, MO
Strayer University - Kansas City in Kansas City, MO
Strayer University - Metairie Campus in Metairie, LA
Strayer University - North Dallas Campus in Dallas, TX
Strayer University - Plano Campus in Plano, TX
Strayer University - San Antonio, TX Campus in San Antonio, TX
Strayer University - St. Louis in St. Louis, MO
Strayer University - Stafford, TX Campus in Stafford, TX
Strayer University - Verizon Wireless, Albuquerque in Albuquerque, NM
Strayer University - Verizon Wireless, Columbia in Columbia, SC
Strayer University - Verizon Wireless, Columbia, South Carolina in Elgin, SC
Strayer University - Verizon Wireless, El Paso in El Paso, TX
Strayer University - Verizon Wireless, Houston in Houston, TX
Strayer University - Verizon Wireless, Laurel in Laurel, MD
Strayhorn High School in Sarah, MS
Stringer Attendance Center in Stringer, MS
Stringtown High School in Stringtown, OK
Strive Prep - Excel in Denver, CO
Strive Prep - Federal in Denver, CO
Strive Prep - Gvr in Denver, CO
Strive Prep - Lake in Denver, CO
Strive Prep - Montbello in Denver, CO
Strive Prep - Ruby Hill in Denver, CO
Strive Prep - Smart Academy in Denver, CO
Strive Prep - Sunnyside in Denver, CO
Strive Prep - Westwood in Denver, CO
Strother High School in Seminole, OK
Stroud High School in Stroud, OK
Stuart High School in Stuart, OK
Stubblefield Alternative Academy in Willis, TX
Stubblefield Lrn Ctr in Lufkin, TX
Stubblefield Lrn Ctr in Lufkin, TX
Stubblefield Lrn Ctr in Lufkin, TX
Stubblefield Lrn Ctr in Lufkin, TX
Stubblefield Lrn Ctr in Lufkin, TX
Student Alter Prog in Mcallen, TX
Student Alternative Ctr in Angleton, TX
Student Opportunity Center in Frisco, TX
Student Support Center in Corpus Christi, TX
Study Alternative High in Springfield, MO
Sturgeon High in Sturgeon, MO
Sublette Elem in Sublette, KS
Sublette High in Sublette, KS
Success Academy in Kansas City, MO
Success High School in Fort Worth, TX
Success High School in Round Rock, TX
Success Preparatory Academy in New Orleans, LA
Sudan High School in Sudan, TX
Sue Crouch Int School in Fort Worth, TX
Sugar Grove Academy in Houston, TX
Sullivan Elem in Ulysses, KS
Sullivan Primary in Sullivan, MO
Sullivan Sr. High in Sullivan, MO
Sulphur Bluff Isd in Sulphur Bluff, TX
Sulphur High School in Sulphur, LA
Sulphur High School in Sulphur, OK
Sulphur Springs High School in Sulphur Springs, TX
